year,chir_a,chir_b,chir_ab,tany_a,tany_b
1977,71,2,NA,143,964
1978,872,0,NA,2346,37452
1979,1344,0,NA,49311,9861
1980,1878,0,NA,65355,23288
1981,1905,0,NA,181832,46596
1982,2402,0,NA,21941,11105
1983,638,7,NA,490,98
1984,50,36,NA,26,57
1985,54,0,NA,340,1818
1986,659,0,NA,9199,46630
1987,5930,0,NA,69795,30210
1988,73,0,NA,76,13
1989,871,0,NA,33,99
1990,19958,0,NA,482,4275
1991,1854,0,NA,38941,44806
1992,23860,0,NA,141818,19565
1993,947,0,NA,53907,87860
1994,4077,0,NA,68793,53209
1995,9335,0,NA,14496,9033
1996,2544,0,NA,50876,13068
1997,498,0,NA,850,246
1998,40,0,NA,21,450
1999,567,0,NA,3306,2613
2000,10500,0,NA,180819,24228
2001,6512,0,NA,53690,16235
2002,699,0,NA,22420,4263
2003,12,0,NA,18,3
2004,0,0,NA,1,0
2005,0,0,NA,24,27
2006,165,0,NA,411,908
2007,4842,0,NA,62055,5214
2008,368,0,NA,13656,3158
2009,281,0,NA,8791,633
2010,453,0,NA,3956,3082
2011,29,9,NA,6,6
2012,0,0,NA,36,135
2013,582,6,NA,777,540
2014,396,0,NA,110574,1584
2015,493,0,NA,6918,2955
