year,gen,N,logN
1977,a,143,4.969813299576001
1977,b,964,6.872128101338986
1978,a,2346,7.760893195851024
1978,b,37452,10.530842092546065
1979,a,49311,10.805922738119841
1979,b,9861,9.196444266784072
1980,a,65355,11.087604528150715
1980,b,23288,10.05573642507379
1981,a,181832,12.110843962404905
1981,b,46596,10.749291440359002
1982,a,21941,9.996157887377436
1982,b,11105,9.315240781801553
1983,a,490,6.19644412779452
1983,b,98,4.59511985013459
1984,a,26,3.295836866004329
1984,b,57,4.060443010546419
1985,a,340,5.831882477283517
1985,b,1818,7.506042178518122
1986,a,9199,9.126958763037132
1986,b,46630,10.750020834993819
1987,a,69795,11.153331980518121
1987,b,30210,10.315961375454851
1988,a,76,4.343805421853684
1988,b,13,2.6390573296152584
1989,a,33,3.5263605246161616
1989,b,99,4.605170185988092
1990,a,482,6.180016653652572
1990,b,4275,8.360773272144936
1991,a,38941,10.569828638675567
1991,b,44806,10.710119656197318
1992,a,141818,11.862306875641476
1992,b,19565,9.881548645017373
1993,a,53907,10.89503416888905
1993,b,87860,11.383511299208681
1994,a,68793,11.138871810816157
1994,b,53209,10.882001627590414
1995,a,14496,9.581697010450897
1995,b,9033,9.108750516214549
1996,a,50876,10.83716623401151
1996,b,13068,9.477998292597036
1997,a,850,6.7464121285733745
1997,b,246,5.5093883366279774
1998,a,21,3.091042453358316
1998,b,450,6.111467339502679
1999,a,3306,8.103796712981794
1999,b,2613,7.868636894184167
2000,a,180819,12.105257340291358
2000,b,24228,10.095305541807429
2001,a,53690,10.891000668685518
2001,b,16235,9.694986277958789
2002,a,22420,10.017753298664472
2002,b,4263,8.357962965845681
2003,a,18,2.9444389791664403
2003,b,3,1.3862943611198906
2004,a,1,0.6931471805599453
2004,b,0,0
2005,a,24,3.2188758248682006
2005,b,27,3.332204510175204
2006,a,411,6.021023349349527
2006,b,908,6.812345094177479
2007,a,62055,11.035792482170708
2007,b,5214,8.559294367434873
2008,a,13656,9.522007489678424
2008,b,3158,8.058010800802085
2009,a,8791,9.081597496083457
2009,b,633,6.452048954437226
2010,a,3956,8.283241441385425
2010,b,3082,8.03365842788615
2011,a,6,1.9459101490553132
2011,b,6,1.9459101490553132
2012,a,36,3.6109179126442243
2012,b,135,4.912654885736052
2013,a,777,6.656726524178391
2013,b,540,6.293419278846481
2014,a,110574,11.613449302736527
2014,b,1584,7.368339686311381
2015,a,6918,8.842026529498812
2015,b,2955,7.991592282068092
