biotech_id,n_adults
Ash-19_S5,30
Blik-19_S6,40
Blo-19_S7,40
Ellid-19_S8,21
H-1-06_S42,40
H-1-11_S9,40
H-2-05_S43,35
H-2-06_S44,40
H-2-10_S10,40
Hrisatjorn_S11,25
KS-1-11_S45,24
KS-1-13_S46,10
KS-1-15-B_S12,40
KS-1-77_S47,40
KS-2-09-B_S48,40
KS-2-13_S49,40
KS-2-14-B_S50,40
KS-2-83_S51,40
KS-2-90_S52,40
Lei-19_S13,40
Lys-19_S14,40
Mik-19_S15,40
MikW-19_S16,40
MyBR-19_S17,40
MyKS-19-B_S18,7
MySN-19_S19,40
Ola-19_S20,40
Pernuvatn_S21,20
SN-1-00_S53,40
SN-1-01_S54,40
SN-1-02_S55,40
SN-1-07_S23,40
SN-1-08_S24,40
SN-1-09_S25,40
SN-1-10_S26,40
SN-1-13_S56,14
SN-1-14_S27,40
SN-1-82_S57,40
SN-1-88_S58,18
SN-1-95_S59,40
SN-1-96_S60,40
SN-1-97_S61,24
SN-1-99_S28,40
SN-2-00_S29,40
SN-2-01_S62,40
SN-2-02_S30,40
SN-2-07_S31,40
SN-2-08_S32,40
SN-2-09_S63,15
SN-2-10_S33,40
SN-2-13-B_S64,35
SN-2-15_S34,40
SN-2-91_S65,40
SN-2-92_S35,40
SN-2-96_S36,34
SN-2-97_S37,19
SN-2-98_S66,41
SN-2-99_S38,40
Skj-19_S22,40
Sva-19_S39,40
Tjornin_S40,10
Vik-19_S41,40
